CLINIC,YEAR,TOTAL,CipR_Sum,CipR_Sum_prevalence
CLINIC_002,2003,10000,319,0.031944759449838545
CLINIC_002,2004,10000,428,0.0428181944519368
CLINIC_002,2005,10000,538,0.053806201079756644
CLINIC_002,2006,10000,649,0.06490998655598501
CLINIC_002,2007,10000,761,0.07613077082361874
CLINIC_002,2008,10000,874,0.08746978667999761
CLINIC_002,2009,10000,989,0.09892827991224662
CLINIC_002,2010,10000,1105,0.11050750943414855
CLINIC_002,2011,10000,1222,0.12220874742445731
CLINIC_002,2012,10000,1340,0.1340332794666681
CLINIC_002,2013,10000,1459,0.14598240469026158
CLINIC_002,2014,10000,1580,0.15805743591343613
CLINIC_002,2015,10000,1702,0.17025969978734223
CLINIC_002,2016,10000,1825,0.18259053694183947
CLINIC_002,2017,10000,1950,0.19505130213278754
CLINIC_002,2018,10000,2076,0.20764336439088904
CLINIC_002,2019,10000,2203,0.22036810717210176
CLINIC_002,2020,10000,2332,0.23322692850963556
CLINIC_002,2021,10000,2462,0.2462212411675495
CLINIC_002,2022,10000,2593,0.2593524727959693
CLINIC_003,2000,10000,0,0.0
CLINIC_003,2001,10000,30,0.0030743174330174483
CLINIC_003,2002,10000,61,0.006158086293713838
CLINIC_003,2003,10000,92,0.009251335638778224
CLINIC_003,2004,10000,123,0.01235409461422865
CLINIC_003,2005,10000,154,0.015466392455687927
CLINIC_003,2006,10000,185,0.01858825848865786
CLINIC_003,2007,10000,217,0.02171972212879636
CLINIC_003,2008,10000,248,0.02486081288219477
CLINIC_003,2009,10000,280,0.028011560345654996
CLINIC_003,2010,10000,311,0.031171994206969034
CLINIC_003,2011,10000,343,0.03434214424519899
CLINIC_003,2012,10000,375,0.03752204033095663
CLINIC_003,2013,10000,407,0.04071171242668603
CLINIC_003,2014,10000,439,0.043911190586944926
CLINIC_003,2015,10000,471,0.04712050495868825
CLINIC_003,2016,10000,503,0.05033968578155301
CLINIC_003,2017,10000,535,0.053568763388141205
CLINIC_003,2018,10000,568,0.05680776820430822
CLINIC_003,2019,10000,600,0.06005673074944684
CLINIC_003,2020,10000,633,0.06331568163677748
CLINIC_003,2021,10000,665,0.06658465157363436
CLINIC_003,2022,10000,698,0.06986367136175597
CLINIC_004,2000,10000,0,0.0
CLINIC_004,2001,10000,178,0.017830004245656284
CLINIC_004,2002,10000,359,0.035977917542712845
CLINIC_004,2003,10000,544,0.05444940821090549
CLINIC_004,2004,10000,732,0.07325024563613569
CLINIC_004,2005,10000,923,0.09238630207247978
CLINIC_004,2006,10000,1118,0.1118635544763289
CLINIC_004,2007,10000,1316,0.13168808637323237
CLINIC_004,2008,10000,1518,0.15186608975802574
CLINIC_004,2009,10000,1724,0.1724038670288388
CLINIC_004,2010,10000,1933,0.19330783295558684
CLINIC_004,2011,10000,2145,0.21458451668356004
CLINIC_004,2012,10000,2362,0.23624056377273628
CLINIC_004,2013,10000,2582,0.2582827382734567
CLINIC_004,2014,10000,2807,0.2807179248391085
CLINIC_004,2015,10000,3035,0.30355313087647806
CLINIC_004,2016,10000,3267,0.3267954887344442
CLINIC_004,2017,10000,3504,0.3504522579316971
CLINIC_004,2018,10000,3745,0.3745308274241752
CLINIC_004,2019,10000,3990,0.39903871791293377
CLINIC_004,2020,10000,4239,0.42398358419315896
CLINIC_004,2021,10000,4493,0.449373217545068
CLINIC_004,2022,10000,4752,0.47521554816743716
CLINIC_005,2000,10000,0,0.0
CLINIC_005,2001,10000,34,0.0034176456645833575
CLINIC_005,2002,10000,68,0.006846971631055521
CLINIC_005,2003,10000,102,0.010288017818549378
CLINIC_005,2004,10000,137,0.013740824282627573
CLINIC_005,2005,10000,172,0.017205431215748357
CLINIC_005,2006,10000,206,0.020681878947733434
CLINIC_005,2007,10000,241,0.02417020794623803
CLINIC_005,2008,10000,276,0.02767045881722119
CLINIC_005,2009,10000,311,0.03118267230541827
CLINIC_005,2010,10000,347,0.03470688929481636
CLINIC_005,2011,10000,382,0.038243150809129434
CLINIC_005,2012,10000,417,0.041791498012275774
CLINIC_005,2013,10000,453,0.04535197220885734
CLINIC_005,2014,10000,489,0.0489246148446405
CLINIC_005,2015,10000,525,0.05250946750703922
CLINIC_005,2016,10000,561,0.05610657192559776
CLINIC_005,2017,10000,597,0.05971596997247719
CLINIC_005,2018,10000,633,0.06333770366294367
CLINIC_005,2019,10000,669,0.06697181515585537
CLINIC_005,2020,10000,706,0.07061834675415546
CLINIC_005,2021,10000,742,0.0742773409053632
CLINIC_005,2022,10000,779,0.07794884020206871
CLINIC_006,2000,10000,0,0.0
CLINIC_006,2001,10000,144,0.014410231087556902
CLINIC_006,2002,10000,290,0.029028116935110537
CLINIC_006,2003,10000,438,0.0438566498957389
CLINIC_006,2004,10000,588,0.058898865443019366
CLINIC_006,2005,10000,741,0.074157842792405
CLINIC_006,2006,10000,896,0.08963670553155523
CLINIC_006,2007,10000,1053,0.10533862225974899
CLINIC_006,2008,10000,1212,0.12126680723651373
CLINIC_006,2009,10000,1374,0.137424521039599
CLINIC_006,2010,10000,1538,0.1538150712324331
CLINIC_006,2011,10000,1704,0.17044181304119843
CLINIC_006,2012,10000,1873,0.18730815004166113
CLINIC_006,2013,10000,2044,0.20441753485590097
CLINIC_006,2014,10000,2217,0.22177346985908009
CLINIC_006,2015,10000,2393,0.23937950789639562
CLINIC_006,2016,10000,2572,0.2572392530103651
CLINIC_006,2017,10000,2753,0.27535636117859186
CLINIC_006,2018,10000,2937,0.293734541062161
CLINIC_006,2019,10000,3123,0.3123775547648211
CLINIC_006,2020,10000,3312,0.3312892186031049
CLINIC_006,2021,10000,3504,0.35047340388754855
CLINIC_006,2022,10000,3699,0.36993403771516764
CLINIC_007,2000,10000,0,0.0
CLINIC_007,2001,10000,50,0.00502481441140934
CLINIC_007,2002,10000,100,0.010074877582687769
CLINIC_007,2003,10000,151,0.01515031638416775
CLINIC_007,2004,10000,202,0.020251258323681576
CLINIC_007,2005,10000,253,0.025377831549764807
CLINIC_007,2006,10000,305,0.030530164854875697
CLINIC_007,2007,10000,357,0.03570838767863038
CLINIC_007,2008,10000,409,0.040912630111055615
CLINIC_007,2009,10000,461,0.04614302289585548
CLINIC_007,2010,10000,513,0.05139969743369788
CLINIC_007,2011,10000,566,0.05668278578551411
CLINIC_007,2012,10000,619,0.06199242067581734
CLINIC_007,2013,10000,673,0.06732873549603657
CLINIC_007,2014,10000,726,0.07269186430786845
CLINIC_007,2015,10000,780,0.07808194184664408
CLINIC_007,2016,10000,834,0.08349910352471523
CLINIC_007,2017,10000,889,0.0889434854348552
CLINIC_007,2018,10000,944,0.09441522435367844
CLINIC_007,2019,10000,999,0.09991445774507657
CLINIC_007,2020,10000,1054,0.10544132376367155
CLINIC_007,2021,10000,1109,0.1109959612582867
CLINIC_007,2022,10000,1165,0.11657850977543482
CLINIC_008,2000,10000,0,0.0
CLINIC_008,2001,10000,118,0.011840783237137886
CLINIC_008,2002,10000,238,0.023821770621944793
CLINIC_008,2003,10000,359,0.03594462228134199
CLINIC_008,2004,10000,482,0.04821101799945393
CLINIC_008,2005,10000,606,0.060622657450365214
CLINIC_008,2006,10000,731,0.07318126043363216
CLINIC_008,2007,10000,858,0.0858885671125853
CLINIC_008,2008,10000,987,0.09874633825545165
CLINIC_008,2009,10000,1117,0.11175635547933349
CLINIC_008,2010,10000,1249,0.12492042149707472
CLINIC_008,2011,10000,1382,0.13824036036705145
CLINIC_008,2012,10000,1517,0.15171801774591942
CLINIC_008,2013,10000,1653,0.16535526114435517
CLINIC_008,2014,10000,1791,0.17915398018582374
CLINIC_008,2015,10000,1931,0.1931160868684123
CLINIC_008,2016,10000,2072,0.20724351582976341
CLINIC_008,2017,10000,2215,0.22153822461514405
CLINIC_008,2018,10000,2360,0.23600219394869026
CLINIC_008,2019,10000,2506,0.2506374280078636
CLINIC_008,2020,10000,2654,0.2654459547011563
CLINIC_008,2021,10000,2804,0.28042982594908583
CLINIC_008,2022,10000,2955,0.2955911179685151
CLINIC_009,2000,10000,0,0.0
CLINIC_009,2001,10000,202,0.020260548637524467
CLINIC_009,2002,10000,409,0.04093158710614242
CLINIC_009,2003,10000,620,0.062021432155041856
CLINIC_009,2004,10000,835,0.08353856903531254
CLINIC_009,2005,10000,1054,0.10549165491388601
CLINIC_009,2006,10000,1278,0.1278895223566463
CLINIC_009,2007,10000,1507,0.15074118288210725
CLINIC_009,2008,10000,1740,0.17405583058709273
CLINIC_009,2009,10000,1978,0.19784284584587164
CLINIC_009,2010,10000,2221,0.2221117990842425
CLINIC_009,2011,10000,2468,0.24687245463008134
CLINIC_009,2012,10000,2721,0.2721347746419036
CLINIC_009,2013,10000,2979,0.2979089231170222
CLINIC_009,2014,10000,3242,0.3242052699809115
CLINIC_009,2015,10000,3510,0.3510343952594259
CLINIC_009,2016,10000,3784,0.3784070933355479
CLINIC_009,2017,10000,4063,0.40633437729238153
CLINIC_009,2018,10000,4348,0.43482748334413657
CLINIC_009,2019,10000,4638,0.463897875356887
CLINIC_009,2020,10000,4935,0.49355724946092394
CLINIC_009,2021,10000,5238,0.5238175387565542
CLINIC_009,2022,10000,5546,0.5546909181152442
CLINIC_010,2000,10000,0,0.0
CLINIC_010,2001,10000,39,0.003911319846135797
CLINIC_010,2002,10000,78,0.007837938115210497
CLINIC_010,2003,10000,117,0.011779914644249212
CLINIC_010,2004,10000,157,0.015737309504318953
CLINIC_010,2005,10000,197,0.019710183001443893
CLINIC_010,2006,10000,236,0.023698595677524414
CLINIC_010,2007,10000,277,0.027702608311259258
CLINIC_010,2008,10000,317,0.03172228191907278
CLINIC_010,2009,10000,357,0.03575767775604355
CLINIC_010,2010,10000,398,0.03980885731683825
CLINIC_010,2011,10000,438,0.04387588233664963
CLINIC_010,2012,10000,479,0.047958814792135485
CLINIC_010,2013,10000,520,0.05205771690236505
CLINIC_010,2014,10000,561,0.05617265112976577
CLINIC_010,2015,10000,603,0.06030368018107546
CLINIC_010,2016,10000,644,0.0644508670082986
CLINIC_010,2017,10000,686,0.06861427480966475
CLINIC_010,2018,10000,727,0.07279396703059193
CLINIC_010,2019,10000,769,0.07699000736465367
CLINIC_010,2020,10000,812,0.0812024597545491
CLINIC_010,2021,10000,854,0.08543138839307796
CLINIC_010,2022,10000,896,0.08967685772411871
CLINIC_011,2000,10000,0,0.0
CLINIC_011,2001,10000,216,0.021687384261979137
CLINIC_011,2002,10000,438,0.043845111160084826
CLINIC_011,2003,10000,664,0.06648338119580166
CLINIC_011,2004,10000,896,0.08961261609280968
CLINIC_011,2005,10000,1132,0.11324346359471482
CLINIC_011,2006,10000,1373,0.13738680236682987
CLINIC_011,2007,10000,1620,0.1620537470042629
CLINIC_011,2008,10000,1872,0.18725565314861692
CLINIC_011,2009,10000,2130,0.21300412271565783
CLINIC_011,2010,10000,2393,0.23931100923635706
CLINIC_011,2011,10000,2661,0.266188423313767
CLINIC_011,2012,10000,2936,0.293648738198242
CLINIC_011,2013,10000,3217,0.32170459548357155
CLINIC_011,2014,10000,3503,0.35036891092664724
CLINIC_011,2015,10000,3796,0.3796548803933437
CLINIC_011,2016,10000,4095,0.40957598593334876
CLINIC_011,2017,10000,4401,0.44014600198674336
CLINIC_011,2018,10000,4713,0.47137900172518266
CLINIC_011,2019,10000,5032,0.5032893635306037
CLINIC_011,2020,10000,5358,0.5358917776144378
CLINIC_011,2021,10000,5692,0.5692012527803763
CLINIC_011,2022,10000,6032,0.6032331233338031
CLINIC_012,2000,10000,0,0.0
CLINIC_012,2001,10000,136,0.013671445191861142
CLINIC_012,2002,10000,275,0.027529798797356175
CLINIC_012,2003,10000,415,0.04157761612461819
CLINIC_012,2004,10000,558,0.05581748741653514
CLINIC_012,2005,10000,702,0.07025203832835869
CLINIC_012,2006,10000,848,0.0848839304118425
CLINIC_012,2007,10000,997,0.09971586160599877
CLINIC_012,2008,10000,1147,0.1147505667345654
CLINIC_012,2009,10000,1299,0.12999081801027312
CLINIC_012,2010,10000,1454,0.14543942554600675
CLINIC_012,2011,10000,1610,0.16109923787295566
CLINIC_012,2012,10000,1769,0.1769731424658474
CLINIC_012,2013,10000,1930,0.19306406627536177
CLINIC_012,2014,10000,2093,0.2093749762678243
CLINIC_012,2015,10000,2259,0.22590887997227815
CLINIC_012,2016,10000,2426,0.2426688260350347
CLINIC_012,2017,10000,2596,0.25965790478180706
CLINIC_012,2018,10000,2768,0.276879248787526
CLINIC_012,2019,10000,2943,0.2943360334539493
CLINIC_012,2020,10000,3120,0.3120314775951658
CLINIC_012,2021,10000,3299,0.3299688440311046
CLINIC_012,2022,10000,3481,0.3481514401891588
CLINIC_013,2000,10000,0,0.0
CLINIC_013,2001,10000,184,0.018433575814338354
CLINIC_013,2002,10000,372,0.03720694834597982
CLINIC_013,2003,10000,563,0.056326381263474
CLINIC_013,2004,10000,757,0.07579825369717996
CLINIC_013,2005,10000,956,0.09562906236763968
CLINIC_013,2006,10000,1158,0.11582542375318616
CLINIC_013,2007,10000,1363,0.13639407629750688
CLINIC_013,2008,10000,1573,0.15734188265790205
CLINIC_013,2009,10000,1786,0.1786758319949855
CLINIC_013,2010,10000,2004,0.2004030423045935
CLINIC_013,2011,10000,2225,0.2225307627926778
CLINIC_013,2012,10000,2450,0.24506637629397754
CLINIC_013,2013,10000,2680,0.2680174017352761
CLINIC_013,2014,10000,2913,0.2913914966440636
CLINIC_013,2015,10000,3151,0.315196459703444
CLINIC_013,2016,10000,3394,0.33944023335413687
CLINIC_013,2017,10000,3641,0.36413090644444557
CLINIC_013,2018,10000,3892,0.3892767169290714
CLINIC_013,2019,10000,4148,0.41488605461767847
CLINIC_013,2020,10000,4409,0.4409674639741237
CLINIC_013,2021,10000,4675,0.4675296469672856
CLINIC_013,2022,10000,4945,0.4945814659744463
CLINIC_014,2000,10000,0,0.0
CLINIC_014,2001,10000,122,0.012267631955493519
CLINIC_014,2002,10000,246,0.024685758704782623
CLINIC_014,2003,10000,372,0.0372562264626084
CLINIC_014,2004,10000,499,0.04998090409239575
CLINIC_014,2005,10000,628,0.06286168338409781
CLINIC_014,2006,10000,759,0.07590047933545008
CLINIC_014,2007,10000,890,0.08909923043667645
CLINIC_014,2008,10000,1024,0.1024598989586849
CLINIC_014,2009,10000,1159,0.1159844712448006
CLINIC_014,2010,10000,1296,0.12967495800607787
CLINIC_014,2011,10000,1435,0.14353339462023418
CLINIC_014,2012,10000,1575,0.15756184143425145
CLINIC_014,2013,10000,1717,0.1717623840706901
CLINIC_014,2014,10000,1861,0.18613713373776108
CLINIC_014,2015,10000,2006,0.20068822754320004
CLINIC_014,2016,10000,2154,0.2154178288119939
CLINIC_014,2017,10000,2303,0.23032812740800446
CLINIC_014,2018,10000,2454,0.2454213400595373
CLINIC_014,2019,10000,2606,0.2606997106889053
CLINIC_014,2020,10000,2761,0.2761655107460341
CLINIC_014,2021,10000,2918,0.2918210395461609
CLINIC_014,2022,10000,3076,0.3076686246116762
CLINIC_015,2000,10000,0,0.0
CLINIC_015,2001,10000,214,0.02142943950537668
CLINIC_015,2002,10000,433,0.04331809988826785
CLINIC_015,2003,10000,656,0.06567582199468802
CLINIC_015,2004,10000,885,0.08851265755446569
CLINIC_015,2005,10000,1118,0.11183887370036572
CLINIC_015,2006,10000,1356,0.13566495758405384
CLINIC_015,2007,10000,1600,0.16000162109097738
CLINIC_015,2008,10000,1848,0.18485980565628535
CLINIC_015,2009,10000,2102,0.2102506871839489
CLINIC_015,2010,10000,2361,0.2361856810712979
CLINIC_015,2011,10000,2626,0.26267644734122797
CLINIC_015,2012,10000,2897,0.2897348958843906
CLINIC_015,2013,10000,3173,0.3173731918137186
CLINIC_015,2014,10000,3456,0.3456037609336955
CLINIC_015,2015,10000,3744,0.3744392953268314
CLINIC_015,2016,10000,4038,0.4038927590598502
CLINIC_015,2017,10000,4339,0.4339773940121594
CLINIC_015,2018,10000,4647,0.46470672582922057
CLINIC_015,2019,10000,4960,0.4960945700034962
CLINIC_015,2020,10000,5281,0.5281550380857085
CLINIC_015,2021,10000,5609,0.5609025440292028
CLINIC_015,2022,10000,5943,0.594351810670265
CLINIC_016,2000,10000,0,0.0
CLINIC_016,2001,10000,99,0.009961751313253275
CLINIC_016,2002,10000,200,0.020022739115733712
CLINIC_016,2003,10000,301,0.03018395197666801
CLINIC_016,2004,10000,404,0.04044638831316405
CLINIC_016,2005,10000,508,0.05081105648831219
CLINIC_016,2006,10000,612,0.06127897491026579
CLINIC_016,2007,10000,718,0.07185117213230607
CLINIC_016,2008,10000,825,0.08252868695390725
CLINIC_016,2009,10000,933,0.09331256852280467
CLINIC_016,2010,10000,1042,0.10420387643808304
CLINIC_016,2011,10000,1152,0.11520368085428934
CLINIC_016,2012,10000,1263,0.12631306258658448
CLINIC_016,2013,10000,1375,0.13753311321694084
CLINIC_016,2014,10000,1488,0.14886493520139865
CLINIC_016,2015,10000,1603,0.16030964197839181
CLINIC_016,2016,10000,1718,0.1718683580781506
CLINIC_016,2017,10000,1835,0.18354221923319547
CLINIC_016,2018,10000,1953,0.19533237248993252
CLINIC_016,2019,10000,2072,0.20723997632135815
CLINIC_016,2020,10000,2192,0.2192662007408892
CLINIC_016,2021,10000,2314,0.23141222741732514
CLINIC_016,2022,10000,2436,0.2436792497909559
CLINIC_017,2000,10000,0,0.0
CLINIC_017,2001,10000,68,0.00684819408250581
CLINIC_017,2002,10000,137,0.013743285927203308
CLINIC_017,2003,10000,206,0.020685596699069997
CLINIC_017,2004,10000,276,0.027675449762483373
CLINIC_017,2005,10000,347,0.034713170696283324
CLINIC_017,2006,10000,417,0.041799087308936445
CLINIC_017,2007,10000,489,0.048933529653805596
CLINIC_017,2008,10000,561,0.0561168300445225
CLINIC_017,2009,10000,633,0.06334932307046826
CLINIC_017,2010,10000,706,0.07063134561235596
CLINIC_017,2011,10000,779,0.07796323685792372
CLINIC_017,2012,10000,853,0.08534533831773294
CLINIC_017,2013,10000,927,0.09277799384107577
CLINIC_017,2014,10000,1002,0.10026154963199074
CLINIC_017,2015,10000,1077,0.10779635426538925
CLINIC_017,2016,10000,1153,0.11538275870329096
CLINIC_017,2017,10000,1230,0.12302111631117185
CLINIC_017,2018,10000,1307,0.1307117828744231
CLINIC_017,2019,10000,1384,0.13845511661492327
CLINIC_017,2020,10000,1462,0.14625147820772422
CLINIC_017,2021,10000,1541,0.15410123079784976
CLINIC_017,2022,10000,1620,0.16200474001721243
CLINIC_018,2000,10000,0,0.0
CLINIC_018,2001,10000,194,0.01946756375436065
CLINIC_018,2002,10000,393,0.03931411354725145
CLINIC_018,2003,10000,595,0.05954702731353945
CLINIC_018,2004,10000,801,0.08017382661850903
CLINIC_018,2005,10000,1012,0.10120217945399657
CLINIC_018,2006,10000,1226,0.12263990308895822
CLINIC_018,2007,10000,1444,0.14449496697553177
CLINIC_018,2008,10000,1667,0.16677549571167294
CLINIC_018,2009,10000,1894,0.18948977206146567
CLINIC_018,2010,10000,2126,0.21264624003423216
CLINIC_018,2011,10000,2362,0.23625350802358436
CLINIC_018,2012,10000,2603,0.26032035200758563
CLINIC_018,2013,10000,2848,0.2848557188112115
CLINIC_018,2014,10000,3098,0.3098687294323237
CLINIC_018,2015,10000,3353,0.33536868243239093
CLINIC_018,2016,10000,3613,0.3613650573932201
CLINIC_018,2017,10000,3878,0.38786751844098144
CLINIC_018,2018,10000,4148,0.41488591783883755
CLINIC_018,2019,10000,4424,0.4424302996495124
CLINIC_018,2020,10000,4705,0.4705109034691608
CLINIC_018,2021,10000,4991,0.4991381682339293
CLINIC_018,2022,10000,5283,0.5283227361006186
CLINIC_019,2000,10000,0,0.0
CLINIC_019,2001,10000,53,0.005386562183545163
CLINIC_019,2002,10000,108,0.010802139419247458
CLINIC_019,2003,10000,162,0.016246887998489834
CLINIC_019,2004,10000,217,0.021720965054527808
CLINIC_019,2005,10000,272,0.02722452856702584
CLINIC_019,2006,10000,327,0.032757737366615025
CLINIC_019,2007,10000,383,0.03832075113947764
CLINIC_019,2008,10000,439,0.04391373043195568
CLINIC_019,2009,10000,495,0.04953683665518405
CLINIC_019,2010,10000,551,0.05519023208974838
CLINIC_019,2011,10000,608,0.060874079890369304
CLINIC_019,2012,10000,665,0.06658854409060999
CLINIC_019,2013,10000,723,0.07233378960761083
CLINIC_019,2014,10000,781,0.07810998224684895
CLINIC_019,2015,10000,839,0.08391728870692239
CLINIC_019,2016,10000,897,0.0897558765843618
CLINIC_019,2017,10000,956,0.09562591437846724
CLINIC_019,2018,10000,1015,0.10152757149617031
CLINIC_019,2019,10000,1074,0.107461018256924
CLINIC_019,2020,10000,1134,0.11342642589761698
CLINIC_019,2021,10000,1194,0.11942396657751697
CLINIC_019,2022,10000,1254,0.12545381338323747
CLINIC_020,2000,10000,0,0.0
CLINIC_020,2001,10000,185,0.018523759751285507
CLINIC_020,2002,10000,373,0.037390649177894586
CLINIC_020,2003,10000,566,0.056607024331496
CLINIC_020,2004,10000,761,0.07617935900173345
CLINIC_020,2005,10000,961,0.09611424689717407
CLINIC_020,2006,10000,1164,0.11641840386665869
CLINIC_020,2007,10000,1370,0.13709867016179844
CLINIC_020,2008,10000,1581,0.15816201274138186
CLINIC_020,2009,10000,1796,0.17961552761846855
CLINIC_020,2010,10000,2014,0.2014664422509591
CLINIC_020,2011,10000,2237,0.2237221179764477
CLINIC_020,2012,10000,2463,0.24639005249217782
CLINIC_020,2013,10000,2694,0.2694778823809352
CLINIC_020,2014,10000,2929,0.29299338568373035
CLINIC_020,2015,10000,3169,0.31694448452013724
CLINIC_020,2016,10000,3413,0.34133924775716884
CLINIC_020,2017,10000,3661,0.3661858937275928
CLINIC_020,2018,10000,3914,0.39149279299859807
CLINIC_020,2019,10000,4172,0.4172684711917496
CLINIC_020,2020,10000,4435,0.44352161185517724
CLINIC_020,2021,10000,4702,0.4702610593889711
CLINIC_020,2022,10000,4974,0.49749582202476317
CLINIC_021,2000,10000,0,0.0
CLINIC_021,2001,10000,161,0.016112854193307102
CLINIC_021,2002,10000,324,0.03248533245686902
CLINIC_021,2003,10000,491,0.04912161807547477
CLINIC_021,2004,10000,660,0.06602596173857145
CLINIC_021,2005,10000,832,0.083202682626345
CLINIC_021,2006,10000,1006,0.10065616951330236
CLINIC_021,2007,10000,1183,0.1183908818896342
CLINIC_021,2008,10000,1364,0.13641135110064617
CLINIC_021,2009,10000,1547,0.15472218150454986
CLINIC_021,2010,10000,1733,0.1733280516489104
CLINIC_021,2011,10000,1922,0.19223371546604628
CLINIC_021,2012,10000,2114,0.21144400348769543
CLINIC_021,2013,10000,2309,0.2309638240792491
CLINIC_021,2014,10000,2507,0.2507981646938737
CLINIC_021,2015,10000,2709,0.2709520931468423
CLINIC_021,2016,10000,2914,0.29143075891039594
CLINIC_021,2017,10000,3122,0.312239394429471
CLINIC_021,2018,10000,3333,0.33338331645862684
CLINIC_021,2019,10000,3548,0.3548679274205129
CLINIC_021,2020,10000,3766,0.3766987167862279
CLINIC_021,2021,10000,3988,0.39888126247791744
CLINIC_021,2022,10000,4214,0.42142123229397344
CLINIC_022,2000,10000,0,0.0
CLINIC_022,2001,10000,213,0.021321751965761138
CLINIC_022,2002,10000,430,0.04309812103841182
CLINIC_022,2003,10000,653,0.06533880045114437
CLINIC_022,2004,10000,880,0.0880536901138651
CLINIC_022,2005,10000,1112,0.11125290101990415
CLINIC_022,2006,10000,1349,0.13494675974668313
CLINIC_022,2007,10000,1591,0.1591458130523462
CLINIC_022,2008,10000,1838,0.18386083257039898
CLINIC_022,2009,10000,2091,0.20910281960444443
CLINIC_022,2010,10000,2348,0.23488301002515288
CLINIC_022,2011,10000,2612,0.26121287927164194
CLINIC_022,2012,10000,2881,0.2881041474594952
CLINIC_022,2013,10000,3155,0.3155687845976949
CLINIC_022,2014,10000,3436,0.3436190159167849
CLINIC_022,2015,10000,3722,0.3722673273106427
CLINIC_022,2016,10000,4015,0.4015264708942783
CLINIC_022,2017,10000,4314,0.4314094706801346
CLINIC_022,2018,10000,4619,0.46192962837541796
CLINIC_022,2019,10000,4931,0.49310052930303594
CLINIC_022,2020,10000,5249,0.5249360484487822
CLINIC_022,2021,10000,5574,0.5574503566374549
CLINIC_022,2022,10000,5906,0.5906579268406651
CLINIC_023,2000,10000,0,0.0
CLINIC_023,2001,10000,190,0.019031422312961066
CLINIC_023,2002,10000,384,0.038425039661176275
CLINIC_023,2003,10000,581,0.05818774513132152
CLINIC_023,2004,10000,783,0.0783265629953156
CLINIC_023,2005,10000,988,0.09884865120696329
CLINIC_023,2006,10000,1197,0.11976130394611051
CLINIC_023,2007,10000,1410,0.14107195421122087
CLINIC_023,2008,10000,1627,0.16278817646129018
CLINIC_023,2009,10000,1849,0.18491768930804287
CLINIC_023,2010,10000,2074,0.20746835825936216
CLINIC_023,2011,10000,2304,0.2304481985149338
CLINIC_023,2012,10000,2538,0.25386537781509366
CLINIC_023,2013,10000,2777,0.277728219343893
CLINIC_023,2014,10000,3020,0.30204520468741447
CLINIC_023,2015,10000,3268,0.3268249768483864
CLINIC_023,2016,10000,3520,0.3520763433181726
CLINIC_023,2017,10000,3778,0.37780827920722504
CLINIC_023,2018,10000,4040,0.4040299304351116
CLINIC_023,2019,10000,4307,0.4307506169812596
